"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","1","0","65.64","21.38","21.38","21.38","21.38","21.38","15.24"
"reflectie","1","0","5.61","5.41","5.41","5.41","5.41","5.41","178.27"
