"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","100","0","430.22","4.13","4.15","4.64","3.55","5.14","232.44"
"reflectie","100","0","436.91","4.19","4.1","5.05","3.53","7.25","228.88"
"reflectie","100","0","521.62","4.96","4.97","5.53","3.93","6.71","191.71"
"meta","100","0","510.1","4.95","4.96","5.52","3.81","6.27","196.04"
"meta","100","0","519.81","5.05","4.21","8.86","3.35","12.96","192.38"
"reflectie","100","0","442.74","4.21","4.12","5.17","3.4","5.71","225.86"
