"mode","runs","total_ms_avg","avg_ms_avg","p95_ms_avg","rps_avg","failures_total"
"meta","7","1656.14","3.15","4.7","389.71","1553"
"reflectie","7","3445.78","6.73","4.06","425.62","2044"
