"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","100","0","626.81","6.03","5.93","7.15","4.95","9.65","159.54"
"reflectie","100","0","601.66","5.82","5.56","7.15","4.9","13.07","166.21"
"reflectie","100","0","549.03","5.32","5.29","6.08","4.54","6.59","182.14"
"meta","100","0","568.5","5.52","5.31","7.02","4.68","9.62","175.9"
"meta","100","0","545.28","5.29","5.25","5.8","4.66","6.65","183.39"
"reflectie","100","0","570.09","5.53","5.34","6.41","4.69","13.22","175.41"
