"mode","requests","failures","total_ms","avg_ms","p50_ms","p95_ms","min_ms","max_ms","rps"
"meta","1","0","75.07","32.07","32.07","32.07","32.07","32.07","13.32"
"reflectie","1","0","5.33","5.12","5.12","5.12","5.12","5.12","187.74"
