"mode","runs","total_ms_avg","avg_ms_avg","p95_ms_avg","rps_avg","failures_total"
"meta","7","1301.13","2.43","3.23","471.94","2500"
"reflectie","7","1306.94","2.45","3.19","478.05","2500"
