"mode","runs","total_ms_avg","avg_ms_avg","p95_ms_avg","rps_avg","failures_total"
"meta","7","1261.99","2.36","3.05","479.6","2500"
"reflectie","7","1389.99","2.61","3.67","418.64","2290"
